2025-10-01 15:15:02,715 - INFO - Loaded car configuration from file
2025-10-01 15:15:02,748 - INFO - iRacing SDK initialized
2025-10-01 15:25:50,607 - INFO - Upshift alert: 8290 RPM (target: 8200, gear: 2)
2025-10-01 15:25:52,716 - INFO - Upshift alert: 8246 RPM (target: 8200, gear: 3)
2025-10-01 15:26:04,609 - INFO - Upshift alert: 8210 RPM (target: 8200, gear: 3)
2025-10-01 15:26:20,318 - INFO - Upshift alert: 8518 RPM (target: 8500, gear: 4)
2025-10-01 15:26:21,451 - INFO - Upshift alert: 8496 RPM (target: 8200, gear: 0)
2025-10-01 15:26:26,909 - INFO - Upshift alert: 8204 RPM (target: 8200, gear: 3)
2025-10-01 15:26:29,498 - INFO - Upshift alert: 8207 RPM (target: 8200, gear: 0)
2025-10-01 15:26:40,567 - INFO - Upshift alert: 8232 RPM (target: 8200, gear: 2)
2025-10-01 15:26:47,979 - INFO - Upshift alert: 8214 RPM (target: 8200, gear: 3)
2025-10-01 15:26:51,636 - INFO - Upshift alert: 8570 RPM (target: 8200, gear: 0)
2025-10-01 15:26:58,398 - INFO - Upshift alert: 8297 RPM (target: 8200, gear: 2)
2025-10-01 15:27:00,336 - INFO - Upshift alert: 8237 RPM (target: 8200, gear: 3)
2025-10-01 15:27:06,075 - INFO - Upshift alert: 8463 RPM (target: 8200, gear: 1)
2025-10-01 15:27:09,935 - INFO - Upshift alert: 8270 RPM (target: 8200, gear: 1)
2025-10-01 15:27:12,555 - INFO - Upshift alert: 8675 RPM (target: 8200, gear: 1)
2025-10-01 15:27:28,867 - INFO - Upshift alert: 8258 RPM (target: 8200, gear: 2)
2025-10-01 15:27:30,912 - INFO - Upshift alert: 8263 RPM (target: 8200, gear: 3)
2025-10-01 15:27:34,943 - INFO - Upshift alert: 8509 RPM (target: 8500, gear: 4)
2025-10-01 15:27:42,710 - INFO - Upshift alert: 8383 RPM (target: 8200, gear: 0)
2025-10-01 15:27:42,912 - INFO - Upshift alert: 8277 RPM (target: 8200, gear: 3)
2025-10-01 15:27:49,424 - INFO - Upshift alert: 8222 RPM (target: 8200, gear: 2)
2025-10-01 15:27:57,471 - INFO - Upshift alert: 8237 RPM (target: 8200, gear: 2)
2025-10-01 15:27:59,719 - INFO - Upshift alert: 8221 RPM (target: 8200, gear: 3)
2025-10-01 15:28:08,356 - INFO - Upshift alert: 8507 RPM (target: 8500, gear: 4)
2025-10-01 15:28:09,302 - INFO - Upshift alert: 8504 RPM (target: 8500, gear: 4)
2025-10-01 15:28:09,597 - INFO - Upshift alert: 8283 RPM (target: 8200, gear: 3)
2025-10-01 15:28:20,805 - INFO - Upshift alert: 8223 RPM (target: 8200, gear: 3)
2025-10-01 15:28:32,792 - INFO - Upshift alert: 8204 RPM (target: 8200, gear: 3)
2025-10-01 15:28:44,650 - INFO - Upshift alert: 8201 RPM (target: 8200, gear: 3)
2025-10-01 15:28:48,602 - INFO - Upshift alert: 8531 RPM (target: 8500, gear: 4)
2025-10-01 15:28:49,501 - INFO - Upshift alert: 8695 RPM (target: 8500, gear: 4)
2025-10-01 15:28:55,083 - INFO - Upshift alert: 8244 RPM (target: 8200, gear: 3)
2025-10-01 15:29:02,574 - INFO - Upshift alert: 8223 RPM (target: 8200, gear: 2)
2025-10-01 15:29:09,254 - INFO - Upshift alert: 8730 RPM (target: 8200, gear: 1)
2025-10-01 15:29:15,659 - INFO - Upshift alert: 8237 RPM (target: 8200, gear: 2)
2025-10-01 15:29:17,691 - INFO - Upshift alert: 8240 RPM (target: 8200, gear: 3)
2025-10-01 15:29:21,445 - INFO - Upshift alert: 8484 RPM (target: 8200, gear: 0)
2025-10-01 15:29:30,250 - INFO - Upshift alert: 8204 RPM (target: 8200, gear: 3)
2025-10-01 15:29:35,554 - INFO - Upshift alert: 8276 RPM (target: 8200, gear: 3)
2025-10-01 15:29:39,322 - INFO - Upshift alert: 8532 RPM (target: 8500, gear: 4)
2025-10-01 15:29:46,161 - INFO - Upshift alert: 8710 RPM (target: 8700, gear: 5)
2025-10-01 15:29:50,363 - INFO - Upshift alert: 8541 RPM (target: 8500, gear: 4)
2025-10-01 15:30:29,439 - INFO - Upshift alert: 8214 RPM (target: 8200, gear: 3)
2025-10-01 15:30:33,501 - INFO - Upshift alert: 8512 RPM (target: 8200, gear: 0)
2025-10-01 15:30:33,703 - INFO - Upshift alert: 8230 RPM (target: 8200, gear: 3)
2025-10-01 15:30:44,616 - INFO - Upshift alert: 8487 RPM (target: 8200, gear: 3)
2025-10-01 15:30:50,647 - INFO - Upshift alert: 8291 RPM (target: 8200, gear: 3)
2025-10-01 15:31:11,550 - INFO - Upshift alert: 8246 RPM (target: 8200, gear: 3)
2025-10-01 15:31:16,512 - INFO - Upshift alert: 8401 RPM (target: 8200, gear: 0)
2025-10-01 15:31:21,830 - INFO - Upshift alert: 8202 RPM (target: 8200, gear: 3)
2025-10-01 15:31:35,660 - INFO - Upshift alert: 8248 RPM (target: 8200, gear: 3)
2025-10-01 15:31:39,397 - INFO - Upshift alert: 8517 RPM (target: 8500, gear: 4)
2025-10-01 15:31:47,398 - INFO - Upshift alert: 8259 RPM (target: 8200, gear: 2)
2025-10-01 15:31:49,352 - INFO - Upshift alert: 8211 RPM (target: 8200, gear: 3)
2025-10-01 15:31:54,330 - INFO - Upshift alert: 8230 RPM (target: 8200, gear: 3)
2025-10-01 15:31:58,485 - INFO - Upshift alert: 8512 RPM (target: 8500, gear: 4)
2025-10-01 15:32:05,293 - INFO - Upshift alert: 8710 RPM (target: 8700, gear: 5)
2025-10-01 15:32:55,732 - INFO - Shutting down iRacing RPM Alert
2025-10-01 15:32:58,435 - INFO - Loaded car configuration from file
2025-10-01 15:32:58,445 - INFO - iRacing SDK initialized
2025-10-01 15:32:58,509 - INFO - Car detected: 'Porsche 911 GT3 Cup (992)'
2025-10-01 15:32:58,510 - INFO - Upshift RPM set to: 8200 for gear 1
2025-10-01 15:32:58,510 - INFO - iRacing RPM Alert v1.0.0 started
2025-10-01 15:33:05,161 - INFO - Upshift alert: 8530 RPM (target: 8200, gear: 0)
2025-10-01 15:33:11,532 - INFO - Upshift alert: 8288 RPM (target: 8200, gear: 1)
2025-10-01 15:33:14,385 - INFO - Upshift alert: 8275 RPM (target: 8200, gear: 2)
2025-10-01 15:33:16,495 - INFO - Upshift alert: 8282 RPM (target: 8200, gear: 3)
2025-10-01 15:33:20,789 - INFO - Upshift alert: 8351 RPM (target: 8200, gear: 3)
2025-10-01 15:33:34,264 - INFO - Upshift alert: 8229 RPM (target: 8200, gear: 2)
2025-10-01 15:33:36,606 - INFO - Upshift alert: 8257 RPM (target: 8200, gear: 3)
2025-10-01 15:33:40,467 - INFO - Upshift alert: 8513 RPM (target: 8500, gear: 4)
2025-10-01 15:33:46,668 - INFO - Upshift alert: 8525 RPM (target: 8200, gear: 3)
2025-10-01 15:33:54,282 - INFO - Upshift alert: 8283 RPM (target: 8200, gear: 2)
2025-10-01 15:33:56,298 - INFO - Upshift alert: 8213 RPM (target: 8200, gear: 3)
2025-10-01 15:34:21,587 - INFO - Upshift alert: 8232 RPM (target: 8200, gear: 3)
